x,y,d,s,T
-0.00076776,0.00264069,-1.00000000,-0.48207173,0.00000000
-0.00078355,0.00262126,-1.00000000,-0.47675964,0.00000000
-0.00079886,0.00260146,-1.00000000,-0.47144755,0.00000000
-0.00081367,0.00258128,-1.00000000,-0.46613546,0.00000000
-0.00082795,0.00256072,-1.00000000,-0.46082337,0.00000000
-0.00084174,0.00253983,-1.00000000,-0.45551128,0.00000000
-0.00085498,0.00251859,-1.00000000,-0.45019920,0.00000000
-0.00086769,0.00249702,-1.00000000,-0.44488711,0.00000000
-0.00087987,0.00247516,-1.00000000,-0.43957503,0.00000000
-0.00089148,0.00245298,-1.00000000,-0.43426294,0.00000000
-0.00090254,0.00243052,-1.00000000,-0.42895086,0.00000000
-0.00091304,0.00240780,-1.00000000,-0.42363877,0.00000000
-0.00092295,0.00238482,-1.00000000,-0.41832669,0.00000000
-0.00093229,0.00236160,-1.00000000,-0.41301461,0.00000000
-0.00094106,0.00233815,-1.00000000,-0.40770252,0.00000000
-0.00094922,0.00231449,-1.00000000,-0.40239044,0.00000000
-0.00095680,0.00229063,-1.00000000,-0.39707836,0.00000000
-0.00096378,0.00226659,-1.00000000,-0.39176628,0.00000000
-0.00097014,0.00224238,-1.00000000,-0.38645419,0.00000000
-0.00097591,0.00221802,-1.00000000,-0.38114211,0.00000000
-0.00098106,0.00219353,-1.00000000,-0.37583003,0.00000000
-0.00098559,0.00216891,-1.00000000,-0.37051794,0.00000000
-0.00098952,0.00214419,-1.00000000,-0.36520586,0.00000000
-0.00099282,0.00211938,-1.00000000,-0.35989378,0.00000000
-0.00099548,0.00209449,-1.00000000,-0.35458169,0.00000000
-0.00099755,0.00206954,-1.00000000,-0.34926960,0.00000000
-0.00099898,0.00204455,-1.00000000,-0.34395752,0.00000000
-0.00099977,0.00201953,-1.00000000,-0.33864543,0.00000000
-0.00099996,0.00199450,-1.00000000,-0.33067729,0.00000000
-0.00099950,0.00196947,-1.00000000,-0.32802125,0.00000000
-0.00099842,0.00194447,-1.00000000,-0.32270916,0.00000000
-0.00099673,0.00191949,-1.00000000,-0.31739707,0.00000000
-0.00099439,0.00189457,-1.00000000,-0.31208499,0.00000000
-0.00099144,0.00186971,-1.00000000,-0.30677290,0.00000000
-0.00098788,0.00184494,-1.00000000,-0.30146082,0.00000000
-0.00098368,0.00182026,-1.00000000,-0.29614873,0.00000000
-0.00097887,0.00179570,-1.00000000,-0.29083665,0.00000000
-0.00097346,0.00177126,-1.00000000,-0.28552457,0.00000000
-0.00096742,0.00174696,-1.00000000,-0.28021248,0.00000000
-0.00096078,0.00172283,-1.00000000,-0.27490040,0.00000000
-0.00095355,0.00169886,-1.00000000,-0.26958832,0.00000000
-0.00094571,0.00167509,-1.00000000,-0.26427624,0.00000000
-0.00093728,0.00165152,-1.00000000,-0.25896415,0.00000000
-0.00092827,0.00162817,-1.00000000,-0.25365207,0.00000000
-0.00091866,0.00160506,-1.00000000,-0.24833999,0.00000000
-0.00090849,0.00158218,-1.00000000,-0.24302790,0.00000000
