Epoch,L2_Error_U,L2_Error_V,L2_Error_W,L2_Error_P,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,1.1103361449678737,0.9164549788911583,1.0549149990402773,0.9894234771554081,0.00012895175314042717,0.5798748135566711,0.08285768330097198,0.821723222732544
1,1.0192002123229271,0.9364529372897877,1.000786037341925,0.9949835214219607,0.0016007765661925077,0.4164750874042511,0.05972512438893318,1.4958419799804688
2,1.020111413941381,0.9912134787829536,0.9233746565391416,1.0038447948740055,0.1055573970079422,0.10457020998001099,0.03001823090016842,2.091581106185913
3,1.006398479028337,0.9707183707296362,0.9136917102322859,1.001305668950938,0.025804052129387856,0.13375458121299744,0.022794092074036598,2.6824076175689697
4,1.0224491863088845,0.9911416226598311,0.8947597226964168,0.9979351197724061,0.04009302332997322,0.09068204462528229,0.018682153895497322,3.284031391143799
5,1.02845303387536,1.0060239209942003,0.9035589415441526,0.9989887888766716,0.026930036023259163,0.08475589007139206,0.015955133363604546,3.870863437652588
6,1.045622461378044,1.0343082481917303,0.9095692226793816,0.9996837383690608,0.03614610433578491,0.061483561992645264,0.013947095721960068,4.458795070648193
7,1.070229593200884,1.0574634583108335,0.9135430868082108,0.9995760097097103,0.03266901895403862,0.05480368062853813,0.012496099807322025,5.038522005081177
8,1.0883471603154133,1.0798794711014128,0.921262663773263,1.0002938486471815,0.027994651347398758,0.050856813788414,0.011264496482908726,5.632515907287598
9,1.1025176199980786,1.1180579399849186,0.9296288151218283,1.0013929198109282,0.0237446092069149,0.0477757528424263,0.010217195376753807,6.230663537979126
10,1.1097374242944678,1.1364011782792134,0.9397658659297339,1.002634243596487,0.020562149584293365,0.04426971450448036,0.00926169566810131,6.824954509735107
11,1.1180845441456584,1.1524285439271567,0.9477112193891618,1.0044638441735072,0.01826673187315464,0.04072781279683113,0.008427792228758335,7.410512208938599
12,1.1258700633394718,1.1603101917440817,0.9511440971046007,1.0072499204531418,0.016149505972862244,0.037634629756212234,0.007683448493480682,7.996683359146118
13,1.1335720605355446,1.157693712678067,0.9519252593780014,1.0115059011189023,0.014973187819123268,0.03414309769868851,0.007016612216830254,8.587302207946777
14,1.1449534167313484,1.1493681497364723,0.9508964522008566,1.017396547162094,0.01416119933128357,0.030998630449175835,0.006451404187828302,9.179710626602173
15,1.156268297961906,1.1412759826579444,0.9476816432131013,1.0238352199578558,0.0139373280107975,0.0279619712382555,0.005985614378005266,9.781364917755127
16,1.164329962354108,1.1319557293725206,0.9437852796127776,1.029601288189631,0.013362448662519455,0.025634445250034332,0.005570985376834869,10.381109952926636
17,1.1764746204245287,1.123972102849381,0.9405618490758079,1.035253921801321,0.012571119703352451,0.023710045963525772,0.005183023866266012,10.98017430305481
18,1.1922808540027523,1.1161722722680694,0.9383532955065572,1.041035853156484,0.011587852612137794,0.022122882306575775,0.004815819673240185,11.576000213623047
19,1.2105990777431834,1.1060888384010332,0.9363577965950813,1.0469399399967554,0.010474065318703651,0.020773859694600105,0.00446398975327611,12.174111604690552
20,1.2300493117903655,1.0933960806169163,0.9343132420038668,1.0527593040454628,0.009238146245479584,0.01965615712106228,0.004127758089452982,12.765192031860352
21,1.2491578527727125,1.0809329445201297,0.9323897836578754,1.0582651931690263,0.007966520264744759,0.01872473768889904,0.003813037183135748,13.533951997756958
22,1.2667258391376208,1.0693640942005336,0.930685227735509,1.0633207372816313,0.006770674604922533,0.01793096214532852,0.003528805449604988,14.260431051254272
23,1.2832528077246854,1.0594361258049776,0.9289975006901408,1.0678479877477367,0.005751584656536579,0.017234934493899345,0.0032837886828929186,15.043466567993164
24,1.2968576891213606,1.053242731512368,0.9275027385482785,1.071198613189736,0.005164823029190302,0.016614170745015144,0.0031112851575016975,15.846129655838013
25,1.3094450828152808,1.048809559931658,0.926398224059993,1.0741853817365221,0.004450634587556124,0.016086162999272346,0.0029338281601667404,16.66203260421753
26,1.3199822759113644,1.0453677171368987,0.925529227473235,1.0772809079060717,0.004047095309942961,0.015672465786337852,0.0028170801233500242,17.442320585250854
27,1.3284875063170802,1.0416251465592756,0.9247653269845112,1.0795188456573173,0.0037702233530580997,0.015286200679838657,0.002722346456721425,18.31692099571228
28,1.3351082847113942,1.0444877263039165,0.9240694941346705,1.081512276167884,0.003420029068365693,0.015091911889612675,0.0026445630937814713,19.1798255443573
29,1.3404730969397405,1.041766730509084,0.9234152195905173,1.0831496114346364,0.0032238077837973833,0.014810438267886639,0.0025763208977878094,20.026721000671387
30,1.3445468772592908,1.0404951058072416,0.922680642726861,1.0846046893972758,0.003032250562682748,0.014638232998549938,0.002524354960769415,20.878875494003296
31,1.3477629122934154,1.0389834823185657,0.9219194624171649,1.0858584551494288,0.0028989198617637157,0.014475537464022636,0.0024820652324706316,21.741106510162354
32,1.3504617997292767,1.0375168743199104,0.9211482482956718,1.086971005319269,0.0027737049385905266,0.014347614720463753,0.002445903141051531,22.58578109741211
33,1.3524531243907691,1.0364441277072796,0.9203751649355106,1.0878735149462453,0.0027006804011762142,0.014230571687221527,0.0024187504313886166,23.39408278465271
34,1.35443465465507,1.0362503469386417,0.9195658188910234,1.0889131385453745,0.0025202794931828976,0.014181660488247871,0.0023859913926571608,24.13605260848999
35,1.3560208813581682,1.035518219470583,0.9187919263545717,1.0897810845072085,0.0024449587799608707,0.014090688899159431,0.002362235449254513,24.8729350566864
36,1.3573966794569048,1.0344740866924484,0.9179912594786567,1.0907002782186084,0.0023555816151201725,0.014039980247616768,0.002342223422601819,25.620714902877808
37,1.3584263558919436,1.0343733859996866,0.9172143702314468,1.0915242959217584,0.0023331334814429283,0.014007690362632275,0.0023344033397734165,26.3401780128479
38,1.3590628559397053,1.0320306137780064,0.9165325344671951,1.0918697766908105,0.0022662924602627754,0.01390478853136301,0.0023101544938981533,27.084700345993042
39,1.3602926750159305,1.0302342871954768,0.9158240775202239,1.0928221432933303,0.002201362978667021,0.013858901336789131,0.002294323407113552,27.78126311302185
