Epoch,L2_Error_U,L2_Error_V,L2_Error_W,L2_Error_P,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,1.168762290031594,1.2115525706104582,1.0529142496467427,0.9875141436454787,0.0001358333247480914,0.5798708200454712,0.08285809308290482,0.7798986434936523
1,1.0332684662326643,1.0805507981392446,0.999884869316977,0.9940956224589276,0.0015809836331754923,0.4164825677871704,0.05972336605191231,1.3695721626281738
2,1.061201438701929,1.0312001228428211,0.9302699765089307,1.0047164006984346,0.10420948266983032,0.10444261878728867,0.029807444661855698,1.9653658866882324
3,1.024270981985514,1.0262834100766913,0.9116027630026593,1.001492952799592,0.02687886357307434,0.13538454473018646,0.023180486634373665,2.543771982192993
4,1.0696350187840875,1.0338554684757746,0.8863427197870425,0.9979255980211476,0.04253896325826645,0.0924801379442215,0.019288444891572,3.1250407695770264
5,1.0813816410314963,1.062885060908986,0.8857999885633444,0.9990710535383782,0.02930234931409359,0.08694472163915634,0.016606725752353668,3.7052953243255615
6,1.122990747687225,1.1265060262572308,0.8834913923813087,0.999902367046372,0.039551399648189545,0.06271473318338394,0.014609449543058872,4.2840256690979
7,1.1815273075842434,1.1949762089555516,0.8804786421721299,0.9997444624522792,0.03516743704676628,0.05694286525249481,0.013158614747226238,4.863110542297363
8,1.217693960537541,1.2215542900607756,0.8807742866386535,1.000734829498213,0.03200741484761238,0.05289985612034798,0.01212961133569479,5.433007001876831
9,1.2402545358749804,1.2481739622933428,0.8820995291381417,1.0028239661186664,0.028138551861047745,0.04963058605790138,0.011109876446425915,6.008332252502441
10,1.2633741639933018,1.273210115737012,0.8846336617070223,1.0057573079264506,0.026276350021362305,0.04466160014271736,0.01013399288058281,6.564907789230347
11,1.3005363850236562,1.3028412248645733,0.8883186949232386,1.0102227373666994,0.02450181543827057,0.039573319256305695,0.00915359053760767,7.126783609390259
12,1.3343166415451386,1.3311011755382716,0.8922823572552248,1.0179473041302205,0.022212034091353416,0.034943658858537674,0.00816509872674942,7.701011896133423
13,1.3653756520094829,1.3665821782216432,0.8941026380323478,1.0291871074529906,0.01935821771621704,0.03054400160908699,0.007128888741135597,8.27586579322815
14,1.3907312394812736,1.4015390665990586,0.8917898434085512,1.0435530376691562,0.017711041495203972,0.02598772756755352,0.006242681294679642,8.846957921981812
15,1.4053539497115937,1.4302330614413317,0.8855121320140965,1.0592411904949792,0.015156214125454426,0.022457776591181755,0.005373427644371986,9.424160718917847
16,1.4201537732361584,1.455333337509434,0.8799411274121057,1.0753725423154816,0.012384505942463875,0.019756242632865906,0.004591535776853561,10.022244691848755
17,1.4477711852069521,1.4755933915169097,0.8761744939341631,1.0902875410541686,0.009731164202094078,0.017957936972379684,0.00395558588206768,10.590942621231079
18,1.4718179317038145,1.4958919002285391,0.8732181685119695,1.1010878368398263,0.007714156527072191,0.01670125313103199,0.0034879157319664955,11.163244485855103
19,1.4928064727742072,1.5070078161552953,0.8715979807901827,1.1079669972618953,0.006119115278124809,0.015980757772922516,0.0031571246217936277,11.734880924224854
20,1.513169889407133,1.5151466307265853,0.8714904074533372,1.1125987516302598,0.005087278783321381,0.015444018878042698,0.0029330425895750523,12.313599586486816
21,1.5272034582998892,1.524901503527082,0.8720453645245672,1.1160198561489854,0.004388506058603525,0.014961927197873592,0.002764347707852721,12.889153957366943
22,1.5371114227014469,1.5348698455186607,0.8728036188803102,1.1182459858759382,0.00389243196696043,0.014622627757489681,0.002645008498802781,13.456892967224121
23,1.5438656758736498,1.54319260547439,0.8736217014963454,1.1197295344881961,0.003495357930660248,0.014316205866634846,0.002544509246945381,14.029415845870972
24,1.5493554494193709,1.549492129911017,0.8743112538066709,1.1209749611924564,0.0032163425348699093,0.014084520749747753,0.0024715519975870848,14.595140218734741
25,1.5532130105174926,1.557208159098512,0.8747130654985849,1.1220587481710607,0.002955055795609951,0.013941831886768341,0.0024138411972671747,15.164229393005371
26,1.5566326304603517,1.5619445532402265,0.8747943890212229,1.1229477510666015,0.0027431906200945377,0.013811495155096054,0.002364955609664321,15.73729419708252
27,1.5583888383419677,1.5660767359816812,0.8748419955196447,1.1237546031793177,0.0025854376144707203,0.01369258388876915,0.0023254314437508583,16.306718349456787
28,1.5608897084030267,1.5704388788341261,0.8744841184844185,1.1246157612821315,0.00249586533755064,0.013621107675135136,0.0023024247493594885,16.871567726135254
29,1.5614667810973324,1.570956847286172,0.874292262556035,1.1248066255424625,0.002395221032202244,0.013485198840498924,0.002268631476908922,17.42054581642151
30,1.5630729578105622,1.5745830995925103,0.8739424714424365,1.125585652416432,0.002226486336439848,0.0134575255215168,0.0022405730560421944,17.978632926940918
31,1.5646950742326027,1.5779360301101681,0.8735075771147115,1.1264139189334919,0.0021151029504835606,0.013387652114033699,0.0022146792616695166,18.5418484210968
32,1.5651004110265487,1.5781916216804959,0.8729800734497574,1.127011508065747,0.002021270804107189,0.013314408250153065,0.002190811326727271,19.105093479156494
33,1.5661724801213837,1.5795291489419119,0.8724193522801399,1.1277589735914952,0.0019391351379454136,0.013285281136631966,0.0021749166771769524,19.665301084518433
34,1.566583697137011,1.5810955033725638,0.8718569639455132,1.1284114127335159,0.001873787259683013,0.013220689259469509,0.0021563537884503603,20.228724718093872
35,1.5669230147862863,1.5813728006736318,0.8711940937651584,1.128847073567543,0.0018202270148321986,0.013161633163690567,0.0021402661222964525,20.77773904800415
36,1.5676224372970007,1.5816396766384786,0.8705955198435982,1.1293602488341274,0.0018218085169792175,0.013110890053212643,0.0021332427859306335,21.342952489852905
37,1.5672737842099862,1.5828061047477135,0.8699886502180503,1.1301626026848994,0.0016755289398133755,0.013107191771268845,0.002111817244440317,21.9079806804657
38,1.5685533211977412,1.5833064646955821,0.8692782626221007,1.1308715471974173,0.0016186616849154234,0.013074719347059727,0.0020990546327084303,22.47159767150879
39,1.568136747691744,1.5829258752385948,0.8685679292588354,1.1312570664199875,0.001597413676790893,0.013007406145334244,0.0020864028483629227,23.04365062713623
40,1.5701781194812032,1.583358991079786,0.8679246774135564,1.1318763410480268,0.001627544523216784,0.012978858314454556,0.0020866291597485542,23.601054906845093
41,1.5690917593511966,1.583134795722735,0.8671473805885074,1.1326310827321933,0.0016199656529352069,0.01290376391261816,0.0020748183596879244,24.14885449409485
42,1.5687622757368003,1.5824152650629741,0.8664254980506905,1.1332721713322202,0.0015269664581865072,0.012856482528150082,0.002054778626188636,24.707870960235596
43,1.568907454612635,1.5827364229458236,0.8657806399414473,1.1337760383102442,0.0015130916144698858,0.012777440249919891,0.002041504718363285,25.27761483192444
44,1.5696185376745673,1.5814113850386904,0.8650355612268383,1.1342277222940902,0.0015283228131011128,0.012741693295538425,0.00203857384622097,25.840975522994995
45,1.568287774046094,1.5814493197726551,0.8642249781691232,1.1347430260846303,0.0014518850948661566,0.01269479002803564,0.002020953455939889,26.396698236465454
46,1.5687217930816155,1.581658602995939,0.8636213661733959,1.1352579119900388,0.001450734562240541,0.012663292698562145,0.0020162896253168583,26.95487403869629
47,1.5690830051494908,1.5818561867733552,0.8627698858645793,1.1361281892737518,0.0014337501488626003,0.012609360739588737,0.0020061589311808348,27.520065307617188
48,1.5698082451184374,1.5807970641040634,0.8620949710684263,1.1365107949536324,0.0014329757541418076,0.012559577822685242,0.001998936291784048,28.085429668426514
49,1.5689008872942392,1.580772720970363,0.8612003526915974,1.137049711486016,0.0013371874811127782,0.012557263486087322,0.0019849215168505907,28.63948631286621
50,1.5694937965907847,1.5795280747269642,0.8605451822410475,1.1375723151076114,0.0013231774792075157,0.012505645863711834,0.001975546358153224,29.19100069999695
