Epoch,L2_Error_U,L2_Error_V,L2_Error_W,L2_Error_P,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,1.0170236945304123,1.0009176561771616,0.8478882280092214,1.0115589921179085,0.3859764039516449,5.111842710903147e-06,0.06616666167974472,0.9247782230377197
1,1.003733945554001,1.0033593759881123,0.8600804332889693,1.0206254893232487,0.35146841406822205,4.915562840324128e-06,0.060080863535404205,2.0856196880340576
2,1.0062457444811992,1.0081345190427196,0.8880876711051184,1.0401083835143652,0.3047264516353607,4.5112678890291136e-06,0.05182962119579315,3.2291343212127686
3,1.0006559220861182,1.0038262441005321,0.9196994968807237,1.036436051753976,0.24198171496391296,3.83773067369475e-06,0.044104594737291336,4.33931303024292
4,0.9946749286236599,0.997294311510546,0.8919925697653706,1.043161865334067,0.2343119978904724,3.5870803003490437e-06,0.04022733494639397,5.49574089050293
5,0.9898732825064296,0.99407774005245,0.8967439486038135,1.0424074156506675,0.21170879900455475,3.293068857601611e-06,0.03716997057199478,6.6192309856414795
6,0.9851139314396329,0.9896388473341992,0.8838995974545866,1.0368185387672375,0.20045799016952515,3.062346877413802e-06,0.03463783115148544,7.74651837348938
7,0.985192236333551,0.9904729002814221,0.874693434664564,1.0365847107602424,0.19315862655639648,2.7245266664976953e-06,0.032279498875141144,8.86494493484497
8,0.9901121861022747,0.9922599926604294,0.8708486222433367,1.043995085793599,0.1847602128982544,2.352926230742014e-06,0.03046926110982895,9.983306407928467
9,0.9945784185671057,0.9944844830229161,0.8681664838566111,1.0473997397415562,0.17472097277641296,2.070075197480037e-06,0.029071509838104248,11.09984016418457
10,0.9976319623145402,0.9973919150133856,0.8664774567936548,1.050784951247415,0.16885386407375336,1.8047389858111273e-06,0.028190966695547104,12.21823239326477
11,0.9999948664805577,0.9983589257472378,0.8641898517541359,1.0539260501702379,0.16545675694942474,1.6614479818599648e-06,0.027562376111745834,13.342259407043457
12,1.001319503432462,0.9982353745290297,0.8616706080624681,1.0555849397842587,0.16337253153324127,1.5967764284141595e-06,0.02700948715209961,14.458327054977417
13,1.0002402537771486,0.9982986849509805,0.8578820633747478,1.0562585021077202,0.16121241450309753,1.5544238749498618e-06,0.02645134925842285,15.572978019714355
14,0.9982800074708743,0.9982426087131967,0.8533522543150676,1.0567368988789672,0.15882734954357147,1.5198119172055158e-06,0.02584761381149292,16.678268671035767
15,0.9965929983812484,0.9986604919276268,0.8486679832571993,1.057525419079296,0.15621539950370789,1.497563630437071e-06,0.025194089859724045,17.794521808624268
16,0.9971198065555372,0.9985605883413992,0.8443611468753676,1.0573658562437787,0.1526332050561905,1.4851156038275803e-06,0.024527911096811295,18.907335996627808
