Epoch,L2_Error_T,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,1.071640926931532,34756.265625,0.08430460840463638,34756.3515625,0.15259981155395508
1,1.12781775791935,34751.00390625,0.07563614845275879,34751.08203125,0.2736036777496338
2,1.4074402158263655,34738.1796875,0.36751866340637207,34738.546875,0.3991889953613281
3,2.3062531365412062,34707.375,2.416996479034424,34709.7890625,0.5159521102905273
4,4.085867507339154,34640.54296875,10.848228454589844,34651.390625,0.6408205032348633
5,6.120940062949251,34525.4765625,29.26559829711914,34554.7421875,0.7605555057525635
6,7.055418834452944,34379.234375,44.444210052490234,34423.6796875,0.874061107635498
7,6.045305376663606,34167.41796875,36.898284912109375,34204.3125,0.9924452304840088
8,4.7903415250071095,33742.63671875,24.888919830322266,33767.5234375,1.0977258682250977
9,4.498668496455597,32959.24609375,26.44170379638672,32985.6875,1.2103056907653809
10,4.548818555194428,32319.84765625,31.653480529785156,32351.501953125,1.3094239234924316
11,4.390226058784301,32220.046875,31.80902862548828,32251.85546875,1.413421392440796
12,4.195710166184959,32149.005859375,28.26580810546875,32177.2734375,1.510455846786499
13,4.13506967665852,32100.74609375,27.959564208984375,32128.705078125,1.6024892330169678
14,4.0448144036914035,32038.0234375,27.426353454589844,32065.44921875,1.693225383758545
15,3.9242194322564186,31969.828125,26.16929054260254,31995.99609375,1.7828354835510254
16,3.8576499769502974,31885.7578125,25.538488388061523,31911.294921875,1.873838186264038
17,3.7756227302583145,31774.173828125,24.930484771728516,31799.10546875,1.9636409282684326
18,3.659219067046463,31619.4296875,23.803024291992188,31643.234375,2.0541491508483887
19,3.429253668238349,31398.09765625,21.59039306640625,31419.689453125,2.1429402828216553
20,3.0727417289775842,31081.232421875,17.675945281982422,31098.908203125,2.232450485229492
21,2.815045045713128,30633.982421875,13.958202362060547,30647.94140625,2.3245060443878174
22,2.74092122969026,29907.482421875,12.006511688232422,29919.48828125,2.4120192527770996
23,2.584033515341261,28851.1640625,9.401073455810547,28860.564453125,2.502528667449951
24,3.019966944709044,27789.83203125,9.875764846801758,27799.708984375,2.592463970184326
25,3.979996644970947,26613.6875,18.453828811645508,26632.142578125,2.6815783977508545
26,3.2321552361627277,25675.314453125,13.124138832092285,25688.439453125,2.7732791900634766
27,2.962936677799659,24868.818359375,13.223313331604004,24882.04296875,2.867466926574707
28,2.303953852497417,23942.130859375,9.79875659942627,23951.9296875,2.9609737396240234
29,1.834288120588363,22952.240234375,8.699207305908203,22960.939453125,3.052107095718384
30,2.8490233845492705,21652.94921875,13.733203887939453,21666.68359375,3.1441447734832764
31,5.2814159616372445,20796.4453125,36.61367416381836,20833.05859375,3.2378270626068115
32,6.346026644166158,19837.693359375,53.84851837158203,19891.54296875,3.327699661254883
33,9.730054222129192,17697.095703125,107.94457244873047,17805.041015625,3.417649030685425
34,13.168302760829977,16667.603515625,201.04904174804688,16868.65234375,3.5051558017730713
35,13.0393260070921,16187.75,200.97406005859375,16388.724609375,3.5935041904449463
36,12.072972455314442,16053.203125,175.97515869140625,16229.1787109375,3.6838860511779785
37,11.585133773227582,15947.4375,161.41683959960938,16108.853515625,3.773253917694092
38,11.536131967699271,15840.484375,159.72482299804688,16000.208984375,3.862706184387207
39,11.48448773398152,15733.587890625,158.58053588867188,15892.1689453125,3.9527862071990967
40,11.393314704284126,15613.294921875,155.68630981445312,15768.9814453125,4.042306184768677
41,11.334575975650443,15444.8525390625,152.38502502441406,15597.2373046875,4.147530555725098
42,11.358600335926887,15220.21484375,150.8100128173828,15371.025390625,4.2395923137664795
43,11.3849453324999,15011.82421875,149.65158081054688,15161.4765625,4.327616453170776
44,11.339351908181474,14819.8154296875,146.57110595703125,14966.38671875,4.417634725570679
45,11.301176325895828,14641.8330078125,143.85916137695312,14785.69140625,4.506689071655273
46,11.238903544096209,14481.630859375,140.68304443359375,14622.3134765625,4.5977394580841064
47,11.129171916766134,14351.4990234375,135.73060607910156,14487.2294921875,4.688248157501221
48,10.991013993505199,14238.2421875,131.37722778320312,14369.619140625,4.792984485626221
49,10.794780286808427,14138.6103515625,125.71128845214844,14264.3212890625,4.89749550819397
50,10.494864439430028,14044.6787109375,118.37732696533203,14163.0556640625,4.987005710601807
51,10.17565985106477,13949.3115234375,110.49556732177734,14059.8076171875,5.078008413314819
52,9.873268275862184,13853.69921875,102.93360137939453,13956.6328125,5.1679627895355225
53,9.517772622724113,13767.0673828125,96.32008361816406,13863.3876953125,5.258151054382324
54,9.22991463660182,13654.5498046875,89.46379852294922,13744.013671875,5.351197242736816
55,8.862987212478108,13546.8466796875,81.89861297607422,13628.744140625,5.440276145935059
56,8.31311030509454,13430.630859375,72.0354232788086,13502.666015625,5.529783725738525
