Epoch,L2_Error_T,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,0.9984102866825687,34753.359375,6.842838740084289e-09,34753.359375,0.16489148139953613
1,0.9972647984949632,34742.67578125,1.0391684845956206e-08,34742.67578125,0.3342320919036865
2,0.9960695066909835,34730.09765625,2.342518179432318e-08,34730.09765625,0.47753310203552246
3,0.9937352834713248,34704.46484375,4.228457939348118e-08,34704.46484375,0.6248564720153809
4,0.9895779755878925,34642.71484375,5.8959972903949165e-08,34642.71484375,0.7716383934020996
5,0.9829647115481972,34547.8125,1.1007936961959786e-07,34547.8125,0.9156601428985596
6,0.9795554517491682,34483.36328125,1.451240763117312e-07,34483.36328125,1.0581691265106201
7,0.9748548893251688,34374.3984375,1.7118350115197245e-07,34374.3984375,1.1996796131134033
8,0.9654661281169449,34194.78515625,3.0387499805328844e-07,34194.78515625,1.3398418426513672
9,0.957022872511608,33996.48828125,4.888311195827555e-07,33996.48828125,1.4813511371612549
10,0.9526611286330013,33667.21875,7.468484568562417e-07,33667.21875,1.6395213603973389
11,0.970711822172175,33206.5703125,1.4937271544113173e-06,33206.5703125,1.7900350093841553
12,0.9920951905937719,32634.90234375,2.5817939786065836e-06,32634.90234375,1.9335687160491943
13,1.0249740161283136,31936.349609375,3.975835170422215e-06,31936.349609375,2.0784037113189697
14,1.084574097550471,31416.203125,5.581085133599117e-06,31416.203125,2.221296787261963
15,1.0908269482595006,31143.8203125,5.81250151299173e-06,31143.8203125,2.3744723796844482
16,1.1003619123668724,30883.810546875,5.944911208644044e-06,30883.810546875,2.51850962638855
17,1.1000986806379178,30653.091796875,5.913064342166763e-06,30653.091796875,2.659017324447632
18,1.0967638372530466,30456.521484375,5.744315785705112e-06,30456.521484375,2.834561347961426
19,1.0895133445129095,30269.7265625,5.589721695287153e-06,30269.7265625,2.994070053100586
20,1.0805659933579819,30065.76953125,5.30234819962061e-06,30065.76953125,3.156625270843506
21,1.0716787341795393,29808.2421875,5.050312665844103e-06,29808.2421875,3.301135778427124
22,1.0542459215244193,29453.478515625,4.7386538426508196e-06,29453.478515625,3.447150707244873
23,1.031801860142213,28922.4140625,4.415122930367943e-06,28922.4140625,3.58933687210083
24,0.9983338957967163,28107.779296875,4.028369403386023e-06,28107.779296875,3.733354091644287
25,0.9660760625615409,27082.775390625,3.6002215892949607e-06,27082.775390625,3.8778631687164307
26,0.9337622407102514,25917.666015625,3.5908024074160494e-06,25917.666015625,4.018882513046265
27,0.8977384081510775,24836.947265625,3.922335963579826e-06,24836.947265625,4.161393642425537
28,0.878374954501269,23885.9296875,4.325736881582998e-06,23885.9296875,4.305906534194946
29,0.8520681468529746,23033.44140625,5.109051926410757e-06,23033.44140625,4.448922157287598
30,0.8164006982091562,22324.900390625,6.749148269591387e-06,22324.900390625,4.594741344451904
31,0.7814605672698716,21573.232421875,7.903845471446402e-06,21573.232421875,4.738759517669678
32,0.7484685467608311,20896.056640625,9.17994839255698e-06,20896.056640625,4.88779616355896
33,0.7130085628403717,20276.447265625,1.0741771802713629e-05,20276.447265625,5.027813911437988
34,0.6874878455899286,19585.509765625,1.2564880307763815e-05,19585.509765625,5.16684365272522
35,0.6522018423883066,18909.1875,1.5092384273884818e-05,18909.1875,5.310969829559326
36,0.6176021481080243,18228.587890625,1.7904450942296535e-05,18228.587890625,5.45116400718689
37,0.5816185368321372,17583.115234375,2.0919960661558434e-05,17583.115234375,5.588164567947388
38,0.5557429896099841,17039.318359375,2.4017641408136114e-05,17039.318359375,5.729264497756958
39,0.5408038773078782,16512.34375,2.7429032343206927e-05,16512.34375,5.867770195007324
40,0.5291239994058521,16152.3232421875,3.053140244446695e-05,16152.3232421875,6.0049755573272705
41,0.5123518074546755,15848.44140625,3.312518310849555e-05,15848.44140625,6.145506143569946
42,0.5108252846637419,15584.578125,3.4973432775586843e-05,15584.578125,6.286012649536133
43,0.4933432116602909,15392.5390625,3.657109118648805e-05,15392.5390625,6.424137353897095
44,0.48842673246009743,15231.2099609375,3.7940866604913026e-05,15231.2099609375,6.561731338500977
45,0.48145986810914454,15114.30078125,3.867592022288591e-05,15114.30078125,6.701239585876465
46,0.473987868220034,15003.673828125,3.9221929910127074e-05,15003.673828125,6.8415772914886475
47,0.4630139737159162,14948.703125,3.96651157643646e-05,14948.703125,6.979723215103149
48,0.4670489496633707,14841.0205078125,4.0020015148911625e-05,14841.0205078125,7.118697881698608
49,0.4593598913920946,14759.9482421875,4.04162346967496e-05,14759.9482421875,7.260542154312134
50,0.45367462829787253,14692.4599609375,4.072114097652957e-05,14692.4599609375,7.402047872543335
51,0.4444830286388895,14632.720703125,4.1033868910744786e-05,14632.720703125,7.552961826324463
52,0.44706872476979204,14575.7021484375,4.1372088162461296e-05,14575.7021484375,7.697363615036011
53,0.4461038499122091,14509.3251953125,4.140430246479809e-05,14509.3251953125,7.847742319107056
54,0.438736128860785,14448.6025390625,4.154536873102188e-05,14448.6025390625,8.008733034133911
55,0.43208787295106316,14398.34765625,4.170136162429117e-05,14398.34765625,8.163451433181763
56,0.4326582130821414,14327.1552734375,4.185734360362403e-05,14327.1552734375,8.320152044296265
57,0.4358489313942073,14276.07421875,4.201438059681095e-05,14276.07421875,8.47220492362976
58,0.431065362942619,14206.85546875,4.2203973862342536e-05,14206.85546875,8.620368242263794
59,0.4231128678693084,14137.69921875,4.2373798351036385e-05,14137.69921875,8.768153190612793
60,0.41854562970213544,14095.44921875,4.264921881258488e-05,14095.44921875,8.908199071884155
61,0.41282565331652277,14023.4814453125,4.261192225385457e-05,14023.4814453125,9.047607898712158
62,0.41006228745154466,13964.6572265625,4.250797428539954e-05,13964.6572265625,9.191669225692749
63,0.4157439797984141,13897.5439453125,4.269818600732833e-05,13897.5439453125,9.347707986831665
64,0.41126625046439064,13822.068359375,4.2792362364707515e-05,13822.068359375,9.491157293319702
