x,y,z
-0.001045,-0.002045,-0.005
-0.00102,-0.002045,-0.005
-0.000995,-0.002045,-0.005
-0.00097,-0.002045,-0.005
-0.000945,-0.002045,-0.005
-0.00092,-0.002045,-0.005
-0.000895,-0.002045,-0.005
-0.00087,-0.002045,-0.005
-0.000845,-0.002045,-0.005
-0.00082,-0.002045,-0.005
-0.000795,-0.002045,-0.005
-0.00077,-0.002045,-0.005
-0.000745,-0.002045,-0.005
-0.00072,-0.002045,-0.005
-0.000695,-0.002045,-0.005
-0.00067,-0.002045,-0.005
-0.000645,-0.002045,-0.005
-0.00062,-0.002045,-0.005
-0.000595,-0.002045,-0.005
-0.00057,-0.002045,-0.005
-0.000545,-0.002045,-0.005
-0.00052,-0.002045,-0.005
-0.000495,-0.002045,-0.005
-0.00047,-0.002045,-0.005
-0.000445,-0.002045,-0.005
-0.00042,-0.002045,-0.005
-0.000395,-0.002045,-0.005
-0.00037,-0.002045,-0.005
-0.000345,-0.002045,-0.005
-0.00032,-0.002045,-0.005
-0.000295,-0.002045,-0.005
-0.00027,-0.002045,-0.005
-0.000245,-0.002045,-0.005
-0.00022,-0.002045,-0.005
-0.000195,-0.002045,-0.005
-0.00017,-0.002045,-0.005
-0.000145,-0.002045,-0.005
-0.00012,-0.002045,-0.005
-9.5e-05,-0.002045,-0.005
-7e-05,-0.002045,-0.005
-4.5e-05,-0.002045,-0.005
-2e-05,-0.002045,-0.005
5e-06,-0.002045,-0.005
3e-05,-0.002045,-0.005
5.5e-05,-0.002045,-0.005
8e-05,-0.002045,-0.005
0.000105,-0.002045,-0.005
0.00013,-0.002045,-0.005
0.000155,-0.002045,-0.005
0.00018,-0.002045,-0.005
0.000205,-0.002045,-0.005
0.00023,-0.002045,-0.005
0.000255,-0.002045,-0.005
0.00028,-0.002045,-0.005
0.000305,-0.002045,-0.005
0.00033,-0.002045,-0.005
0.000355,-0.002045,-0.005
0.00038,-0.002045,-0.005
0.000405,-0.002045,-0.005
0.00043,-0.002045,-0.005
0.000455,-0.002045,-0.005
0.00048,-0.002045,-0.005
0.000505,-0.002045,-0.005
0.00053,-0.002045,-0.005
0.000555,-0.002045,-0.005
0.00058,-0.002045,-0.005
0.000605,-0.002045,-0.005
0.00063,-0.002045,-0.005
0.000655,-0.002045,-0.005
0.00068,-0.002045,-0.005
0.000705,-0.002045,-0.005
0.00073,-0.002045,-0.005
0.000755,-0.002045,-0.005
0.00078,-0.002045,-0.005
0.000805,-0.002045,-0.005
0.00083,-0.002045,-0.005
0.000855,-0.002045,-0.005
0.00088,-0.002045,-0.005
0.000905,-0.002045,-0.005
0.00093,-0.002045,-0.005
0.000955,-0.002045,-0.005
0.00098,-0.002045,-0.005
0.001005,-0.002045,-0.005
0.00103,-0.002045,-0.005
0.001055,-0.002045,-0.005
0.00108,-0.002045,-0.005
0.001105,-0.002045,-0.005
0.00113,-0.002045,-0.005
-0.00117,-0.00202,-0.005
-0.001145,-0.00202,-0.005
-0.00112,-0.00202,-0.005
-0.001095,-0.00202,-0.005
