Epoch,L2_Error_T,PDE_Loss,Boundary_Loss,Total_Loss,time_history
0,0.9948218445434244,95.36711883544922,1.2122498560529493e-08,95.36711883544922,0.1719837188720703
1,0.9894527709427358,94.27931213378906,3.295220540877608e-09,94.27931213378906,0.32409143447875977
2,0.9776327535961075,93.50733184814453,2.7468484375958724e-08,93.50733184814453,0.4681103229522705
3,0.973665870057113,92.97340393066406,7.956499814554263e-08,92.97340393066406,0.6146388053894043
4,0.9737287891516782,92.47743225097656,1.4859372754472133e-07,92.47743225097656,0.7606489658355713
5,0.9701376904426339,92.24542999267578,3.1726602855997044e-07,92.24542999267578,0.9376685619354248
6,0.9727433231932576,91.90922546386719,3.685449883050751e-07,91.90922546386719,1.1001770496368408
7,0.9744172783085641,91.51396179199219,5.841798724759428e-07,91.51396179199219,1.2522084712982178
8,0.9804286219171126,90.98541259765625,1.2259365576028358e-06,90.98541259765625,1.3965175151824951
9,0.9924421224806048,90.68650817871094,2.3764532670611516e-06,90.68650817871094,1.541095495223999
10,0.9963499187239155,90.58014678955078,2.866682734747883e-06,90.58014678955078,1.6823132038116455
11,0.9932572382753024,90.43257141113281,2.6341785996919498e-06,90.43257141113281,1.8318638801574707
12,0.992033492550462,90.2684326171875,2.5854178602457978e-06,90.2684326171875,1.977518081665039
13,0.99349246713546,90.02054595947266,2.836410203599371e-06,90.02054595947266,2.1221139430999756
14,0.9935506329485029,89.61689758300781,3.139997716061771e-06,89.61689758300781,2.268195390701294
15,0.989894088934084,88.91268157958984,3.330400204504258e-06,88.91268157958984,2.41033673286438
16,0.9829353301514797,87.93199157714844,3.6714536690851673e-06,87.93199157714844,2.5575780868530273
17,0.9716296528089645,86.6402587890625,4.0579502638138365e-06,86.6402587890625,2.7029037475585938
18,0.9515741550150895,85.03993225097656,4.751259893964743e-06,85.03993225097656,2.85050892829895
19,0.9191749988513975,83.09429168701172,5.994220373395365e-06,83.09429168701172,2.994178295135498
20,0.881527945179369,80.23955535888672,7.3326782512594946e-06,80.23955535888672,3.1384427547454834
21,0.8390872078750345,76.36797332763672,8.346362847078126e-06,76.36797332763672,3.283576726913452
22,0.7875931104567144,71.93775939941406,1.039644757838687e-05,71.93775939941406,3.429715156555176
